path,sha256,copyright,license_status,reuse_status,notes
src/Log.h,f6b885051e2317fe9d110117e2b293569606f64de38b80d5fae613022c49ed61,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/MainMenu.cpp,971f4cda257dd96e41340218af80436fa18e7c2b699c6d840e87ecd46182ec9d,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/MainMenu.h,2b476bc096390f86c325f2c6c9b49099760a467ca418e770d266fb4c734dac7d,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/MessageBox.cpp,ce555c3409e5e7245acb842b7c44cf3c8146fedb8a7d63bf40fcd4dc33c77f08,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/MessageBox.h,3f83b8489e9951a2f529e08dad595fc379d1c2e9b63b64f70ea43ed660f9ce69,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Options.cpp,56bee13d8bb2f3753160396e07461142fa510021dc764f2548b8f0047ac56009,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Options.h,637dc5380967da746f22eaaa47ccf04f8378f92f909054c7702859c6e3822b1c,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/OptionsScreen.cpp,404fc0d352c516fb01f647f9e9b75466f04bbc639f2d6916a005be109456db34,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/OptionsScreen.h,8b4868664b223061b81f95c95242b2d7cb16d5231218e3f6ded75511f6c64ffe,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/RecordReplayActions.h,5ce5e7d2f7b2a8ca6c05f05f0bd9561aa40c444a35038c6f079d8c66fef182b6,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Slider.cpp,ad39a0e3b2e4ce3b7a7e4d55a6326bcfe9d3f62b83bb4102dc21fe45fbd80178,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Slider.h,75d9459c848eca77a88621349f4c068ae15f3e93e45e2c44646a60162f855319,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/SplashScreen.cpp,996c4c4b62c72b30ddd5b09c5f0c13f90a26a300cafe13aab147c639223691d3,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/SplashScreen.h,53bce1a5d9cb86ac22b9cf983bc3ad1f1507ce82d973569610b114ac9a2b363c,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TextBox.cpp,84e97d9441de0462b84dfd2e314bb0315ff2a65346638f6d74b57f32d4e1d0a3,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TextBox.h,f8f5b4b713377862a1a6a96dc64e7984f7ce6e2751c7d1b186809783abd7bdbc,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TextExplodingBubble.cpp,b986f816ca1b037152be3a47b4ad1933cb0f721187ab9036d2877e6189539ccc,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TextExplodingBubble.h,f61ae1cbb7c75a49d0a53cbb78a6383c5727654831a6323fb629bdacbef41eb0,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Theme.cpp,1808871f15cc5a4802c1679b30623bfd7dae46a76a83a24766302ed96d8fe352,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
