frame,seq,event,label,id,value,score
472,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
475,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
475,1,CONTACT_BEGIN,obstacle:7,7,0,15
476,0,CONTACT_END,obstacle:7,7,0,15
477,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
478,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
478,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
481,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
490,0,CONTACT_BEGIN,sling-reactive:9,9,0,15
490,1,CONTACT_BEGIN,sling-corner:9,9,0,15
490,2,CONTACT_BEGIN,sling-corner:10,10,0,15
491,0,CONTACT_END,sling-reactive:9,9,0,15
491,1,HIT,sling-reactive:9,9,0,15
491,2,CONTACT_END,sling-corner:9,9,0,15
491,3,CONTACT_END,sling-corner:10,10,0,15
504,0,CONTACT_BEGIN,left-wall,0,0,15
505,0,CONTACT_END,left-wall,0,0,15
537,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
538,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
538,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
542,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
549,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
550,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
550,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
554,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
556,0,CONTACT_BEGIN,plunger-tube,0,0,15
557,0,CONTACT_END,plunger-tube,0,0,15
567,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
568,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
568,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
571,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
