frame,t,ball,x,y,vx,vy,leftAngle,leftOmega,rightAngle,rightOmega,score,plunged,down
134,2.250000000,1,0.145549566,1.051037192,0.625701189,-0.242612794,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
135,2.266666889,1,0.155977935,1.046661615,0.625701189,-0.262538433,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
136,2.283333540,1,0.166406289,1.041953802,0.625701189,-0.282464087,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
137,2.300000191,1,0.176834643,1.036914110,0.625701189,-0.302389711,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
138,2.316666842,1,0.187262997,1.031542063,0.625701189,-0.322315365,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
139,2.333333492,1,0.197691351,1.025838137,0.625701189,-0.342240989,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
140,2.350000143,1,0.208119705,1.019801974,0.625701189,-0.362166643,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
141,2.366666794,1,0.218548059,1.013433814,0.625701189,-0.382092297,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
142,2.383333445,1,0.228976414,1.006733537,0.625701189,-0.402017921,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
143,2.400000095,1,0.239404768,0.999701142,0.625701189,-0.421943575,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
144,2.416666746,1,0.249833137,0.992336631,0.625701189,-0.441869199,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
145,2.433333397,1,0.260261476,0.984640002,0.625701189,-0.461794853,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
146,2.450000048,1,0.270689845,0.976611316,0.625701189,-0.481720507,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
147,2.466666698,1,0.281118214,0.968250573,0.625701189,-0.501646161,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
148,2.483333349,1,0.291546553,0.959557712,0.625701189,-0.521571755,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
149,2.500000238,1,0.301974922,0.950532734,0.625701189,-0.541497409,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
150,2.516666889,1,0.312403262,0.941175640,0.625701189,-0.561423063,-0.284793347,24.282508850,0.678407848,-0.000000000,0,1,0
151,2.533333540,1,0.322831631,0.931486487,0.625701189,-0.581348717,0.275392801,35.682994843,0.678407848,0.000000000,0,1,0
152,2.550000191,1,0.333260000,0.921465278,0.625701189,-0.601274371,0.889458060,39.665328979,0.678407848,-0.000000000,0,1,0
