frame,t,x,y,vx,vy,angle,omega
85,1.433333397,0.225999996,0.156000003,0.403198153,1.377272606,0.275392860,35.682994843
86,1.450000048,0.225999996,0.156000003,-0.433784813,1.535125852,0.889458001,39.665325165
87,1.466666698,0.247725055,0.156355947,-0.015719313,0.590857923,1.677504897,51.856082916
88,1.483333468,0.234659478,0.155168906,0.000000000,-0.000000000,1.418629408,-0.000000000
89,1.500000119,0.231941536,0.154896274,0.000000000,-0.000000000,1.319058180,0.000000000
90,1.516666770,0.226025313,0.156037599,0.288493693,-0.074198917,1.009675503,-7.406807899
91,1.533333421,0.225999996,0.156000018,0.377259135,-0.237111896,0.826173782,-11.079418182
92,1.550000072,0.225999996,0.156000003,0.386684626,-0.356369346,0.610004187,-13.075320244
93,1.566666722,0.226000026,0.156000003,0.324154288,-0.463789761,0.377693176,-14.069569588
94,1.583333373,0.225999996,0.156000003,0.216050714,-0.544564486,0.137326375,-14.567245483
95,1.600000143,0.225999996,0.156000003,0.081569739,-0.590245962,-0.107058510,-14.815858841
96,1.616666794,0.225999996,0.156000003,-0.064171933,-0.597118199,-0.353331089,-14.932746887
97,1.633333445,0.225999996,0.156000003,-0.208367303,-0.564974904,-0.600252688,-14.972967148
98,1.650000095,0.225999996,0.156000003,-0.339914054,-0.496581703,-0.847015023,-14.963080406
99,1.666666746,0.226040214,0.155966461,-0.000000000,-0.000000000,-0.729440033,-0.000000000
100,1.683333397,0.226002768,0.155997768,-0.000000000,-0.000000000,-0.691702604,0.000000000
101,1.700000048,0.226000190,0.155999869,0.000000000,0.000000000,-0.681871355,-0.000000000
102,1.716666698,0.225999996,0.155999988,0.000000000,0.000000000,-0.679310024,0.000000000
103,1.733333468,0.225999996,0.156000003,0.000000000,0.000000000,-0.678642869,0.000000000
104,1.750000119,0.225999996,0.156000018,0.000000000,-0.000000000,-0.678468883,0.000000000
105,1.766666770,0.225999996,0.156000003,0.000000000,0.000000000,-0.678423464,0.000000000
106,1.783333421,0.225999996,0.156000018,0.000000000,0.000000000,-0.678411841,0.000000000
107,1.800000072,0.225999996,0.155999988,0.000000000,0.000000000,-0.678408802,-0.000000000
108,1.816666722,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678407967,-0.000000000
109,1.833333373,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678407848,0.000000000
110,1.850000143,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
111,1.866666794,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
112,1.883333445,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
113,1.900000095,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
114,1.916666746,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
115,1.933333397,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
116,1.950000048,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
117,1.966666818,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
118,1.983333468,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
119,2.000000000,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
120,2.016666889,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
121,2.033333540,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
122,2.050000191,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
123,2.066666842,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
124,2.083333492,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
125,2.100000143,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
126,2.116666794,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
127,2.133333445,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
128,2.150000095,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
129,2.166666746,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
130,2.183333397,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
131,2.200000048,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
132,2.216666698,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
133,2.233333349,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
134,2.250000000,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
135,2.266666889,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
136,2.283333540,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
137,2.300000191,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
138,2.316666842,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
139,2.333333492,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
140,2.350000143,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
141,2.366666794,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
142,2.383333445,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
143,2.400000095,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
144,2.416666746,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
145,2.433333397,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
146,2.450000048,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
147,2.466666698,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
148,2.483333349,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
149,2.500000238,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
150,2.516666889,0.225999996,0.156000003,0.612856746,0.760338485,-0.284793347,24.282508850
151,2.533333540,0.225999996,0.156000003,0.403198242,1.377272606,0.275392801,35.682994843
152,2.550000191,0.225999996,0.155999988,-0.433784813,1.535126090,0.889458060,39.665328979
153,2.566666842,0.247725040,0.156355947,-0.015717532,0.590857983,1.677504778,51.856075287
154,2.583333492,0.234659553,0.155168891,-0.000000000,-0.000000000,1.418630958,0.000000000
155,2.600000143,0.231941551,0.154896259,-0.000000000,-0.000000000,1.319059134,0.000000000
156,2.616666794,0.226039097,0.156070039,0.000000000,0.000000000,1.103648782,0.000000000
157,2.633333445,0.227130741,0.155743331,0.267793953,-0.135070607,0.988394856,-7.457700253
158,2.650000095,0.225999996,0.156000003,0.378333151,-0.249172539,0.789211750,-11.264159203
159,2.666666746,0.225999996,0.156000003,0.375601321,-0.372747451,0.571703315,-13.157641411
160,2.683333397,0.225999996,0.156000003,0.307125658,-0.477367014,0.338671327,-14.114070892
161,2.700000048,0.225999996,0.156000003,0.194967240,-0.553502738,0.097910419,-14.591609001
162,2.716666698,0.225999996,0.156000003,0.058296639,-0.593504071,-0.146677166,-14.828408241
163,2.733333588,0.225999996,0.156000018,-0.087799303,-0.594289899,-0.393023610,-14.937321663
164,2.750000238,0.225999996,0.156000003,-0.230598971,-0.556204557,-0.639920413,-14.971434593
165,2.766666889,0.225999996,0.156000003,-0.359182686,-0.482499927,-0.886577129,-14.956541061
166,2.783333540,0.226077646,0.155934304,-0.000000000,-0.000000000,-0.749537766,-0.000000000
167,2.800000191,0.226005346,0.155995637,0.000000000,0.000000000,-0.696938515,0.000000000
168,2.816666842,0.226000354,0.155999720,-0.000000000,0.000000000,-0.683235407,0.000000000
169,2.833333492,0.226000026,0.155999988,0.000000000,-0.000000000,-0.679665446,0.000000000
170,2.850000143,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678735375,0.000000000
171,2.866666794,0.225999996,0.155999988,0.000000000,0.000000000,-0.678492963,0.000000000
172,2.883333445,0.225999996,0.156000003,0.000000000,0.000000000,-0.678430021,-0.000000000
173,2.900000095,0.225999996,0.156000018,0.000000000,0.000000000,-0.678413332,-0.000000000
174,2.916666746,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678409040,0.000000000
175,2.933333397,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678407967,0.000000000
176,2.950000048,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678407848,0.000000000
177,2.966666937,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
178,2.983333588,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
179,3.000000238,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
