phase,frame,x,y,comx,comy,vx,vy,angle,omega,localcx,localcy
before,31,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,31,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,32,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,32,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,33,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,33,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,34,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,34,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,35,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,35,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,36,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,36,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,37,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,37,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,38,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,38,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,39,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,39,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,40,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,40,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,41,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,41,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,42,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,42,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,43,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,43,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,44,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,44,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
